title,provider,certificate_type,rating,difficulty,students_enrolled,platform,price,reviews,lectures,duration,category
Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,0.0,54k,Coursera,,,,,Unknown
Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,,54k,Coursera,,,,,Unknown
Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,0.0,9k,Coursera,,,,,Unknown
Digital Business Models,Lund University,COURSE,4.5,0.0,21k,Coursera,,,,,Unknown
Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,0.0,37k,Coursera,,,,,Unknown
Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,0.0,380k,Coursera,,,,,Unknown
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,,57k,Coursera,,,,,Unknown
Digital Product Management,University of Virginia,SPECIALIZATION,4.7,0.0,140k,Coursera,,,,,Unknown
Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,0.0,58k,Coursera,,,,,Unknown
Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,0.0,35k,Coursera,,,,,Unknown
Discrete Optimization,The University of Melbourne,COURSE,4.9,1.0,40k,Coursera,,,,,Unknown
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,0.0,4k,Coursera,,,,,Unknown
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,0.0,21k,Coursera,,,,,Unknown
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,1.0,130k,Coursera,,,,,Unknown
Dog Emotion and Cognition,Duke University,COURSE,4.6,,150k,Coursera,,,,,Unknown
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,0.0,5.6k,Coursera,,,,,Unknown
Drug Commercialization,University of California San Diego,COURSE,4.7,0.0,17k,Coursera,,,,,Unknown
Drug Discovery,University of California San Diego,COURSE,4.6,0.0,39k,Coursera,,,,,Unknown
Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,0.0,110k,Coursera,,,,,Unknown
EMT Foundations,University of Colorado System,COURSE,4.8,0.0,7.1k,Coursera,,,,,Unknown
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,1.0,18k,Coursera,,,,,Unknown
